location,size,total_sqft,bath,price,bhk,price_per_sqft
Nizampet,2 BHK,1056.0,2.0,39.07,2,3699.810606060606
Hitech City,4 Bedroom,2600.0,5.0,120.0,4,4615.384615384615
Alwal,3 BHK,1521.0,3.0,95.0,3,6245.890861275477
Nizampet,2 BHK,1170.0,2.0,38.0,2,3247.863247863248
Hyder Nagar,4 Bedroom,2785.0,5.0,295.0,4,10592.45960502693
Mehdipatnam,2 BHK,1000.0,2.0,38.0,2,3800.0
Narsingi,3 Bedroom,2250.0,3.0,148.0,3,6577.777777777777
Khajaguda Nanakramguda Road,2 BHK,1175.0,2.0,73.5,2,6255.31914893617
Kukatpally,3 BHK,1180.0,3.0,48.0,3,4067.7966101694915
Madhapur,3 BHK,1540.0,3.0,60.0,3,3896.103896103896
Tellapur,3 BHK,2770.0,4.0,290.0,3,10469.314079422382
Hitech City,3 BHK,1755.0,3.0,122.0,3,6951.5669515669515
Manikonda,4 Bedroom,2800.0,5.0,380.0,4,13571.42857142857
Kukatpally,1 RK,510.0,1.0,25.25,1,4950.980392156863
Manikonda,2 BHK,660.0,1.0,23.1,2,3500.0
Tellapur,2 BHK,1151.0,2.0,48.77,2,4237.185056472633
Gachibowli,3 BHK,1025.0,2.0,47.0,3,4585.365853658536
Kokapet,4 BHK,2475.0,4.0,186.0,4,7515.151515151515
Hyder Nagar,3 BHK,1075.0,2.0,35.0,3,3255.813953488372
Mehdipatnam,3 BHK,1760.0,2.0,123.0,3,6988.636363636364
Tellapur,3 BHK,1693.0,3.0,57.39,3,3389.84051978736
Khajaguda Nanakramguda Road,2 BHK,700.0,2.0,36.0,2,5142.857142857143
Madhapur,3 BHK,1724.0,3.0,125.0,3,7250.580046403712
Narsingi,3 BHK,1254.0,3.0,38.0,3,3030.3030303030305
Begumpet,1 BHK,600.0,1.0,38.0,1,6333.333333333333
Nizampet,2 BHK,1330.74,2.0,91.79,2,6897.665960292769
Banjara Hills,2 BHK,970.0,2.0,33.0,2,3402.061855670103
AS Rao Nagar,2 BHK,1459.0,2.0,94.82,2,6498.971898560658
Mallampet,2 BHK,1270.0,2.0,50.0,2,3937.0078740157483
Nanakramguda,3 BHK,1670.0,3.0,99.0,3,5928.143712574851
Mallampet,3 BHK,2010.0,3.0,91.0,3,4527.363184079602
Attapur,2 BHK,1185.0,2.0,75.0,2,6329.113924050633
Alwal,3 BHK,1600.0,2.0,75.0,3,4687.5
Nanakramguda,2 BHK,1200.0,2.0,44.0,2,3666.6666666666665
Nizampet,2 BHK,1500.0,2.0,185.0,2,12333.333333333334
Manikonda,2 BHK,845.0,2.0,55.0,2,6508.87573964497
Puppalaguda,4 Bedroom,5700.0,5.0,650.0,4,11403.508771929824
Kompally,2 BHK,1160.0,2.0,44.0,2,3793.103448275862
Pocharam,2 BHK,1140.0,2.0,43.0,2,3771.9298245614036
Manikonda,2 BHK,1358.0,2.0,80.58,2,5933.726067746687
Masab Tank,3 BHK,1569.0,3.0,101.0,3,6437.221159974506
Miyapur,2 BHK,1240.0,2.0,70.0,2,5645.1612903225805
Kondapur,3 BHK,2089.0,3.0,140.0,3,6701.771182383915
Uppal Kalan,3 BHK,2511.0,3.0,205.0,3,8164.078056551175
Miyapur,3 BHK,1660.0,2.0,105.0,3,6325.301204819277
Rajendra Nagar,2 BHK,1326.0,2.0,78.0,2,5882.35294117647
Beeramguda,3 BHK,1499.0,5.0,102.0,3,6804.536357571715
Bachupally,2 BHK,708.0,2.0,37.0,2,5225.988700564972
Toli Chowki,2 BHK,1060.0,2.0,58.06,2,5477.358490566037
Nanakramguda,2 BHK,1000.0,2.0,70.0,2,7000.0
Kondapur,2 BHK,1296.0,2.0,80.0,2,6172.83950617284
Kistareddypet,4 Bedroom,2894.0,4.0,245.0,4,8465.791292328957
Shaikpet,3 BHK,2502.0,3.0,138.0,3,5515.587529976019
Amberpet,2 BHK,650.0,1.0,17.0,2,2615.3846153846152
Kokapet,3 Bedroom,2400.0,2.0,150.0,3,6250.0
Hitech City,2 BHK,1007.0,2.0,43.0,2,4270.109235352532
Nagole,2 BHK,1200.0,2.0,50.0,2,4166.666666666667
AS Rao Nagar,3 BHK,1640.0,3.0,229.0,3,13963.414634146342
Kapra,2 BHK,1260.0,2.0,66.78,2,5300.0
West Marredpally,3 BHK,1413.0,2.0,75.0,3,5307.855626326964
Puppalaguda,2 BHK,1116.0,2.0,51.91,2,4651.433691756272
Trimalgherry,3 BHK,1530.0,2.0,45.9,3,3000.0
Sanath Nagar,3 Bedroom,2497.0,3.0,140.0,3,5606.728073688426
Darga Khaliz Khan,3 BHK,1540.0,2.0,64.0,3,4155.8441558441555
Nizampet,3 BHK,1427.0,3.0,120.0,3,8409.250175192712
Nizampet,3 BHK,2061.0,3.0,200.0,3,9704.02717127608
Nizampet,4 BHK,5611.5,4.0,477.0,4,8500.400962309543
Nizampet,3 BHK,1282.0,2.0,68.52,3,5344.773790951638
Nizampet,3 BHK,1600.0,3.0,65.0,3,4062.5
Nizampet,2 BHK,1500.0,2.0,78.0,2,5200.0
Nizampet,3 BHK,1870.0,3.0,110.0,3,5882.35294117647
Manikonda,3 Bedroom,1600.0,3.0,75.0,3,4687.5
Manikonda,2 BHK,880.0,1.0,16.5,2,1875.0
Manikonda,3 BHK,1535.0,3.0,83.0,3,5407.166123778502
Manikonda,2 BHK,950.0,2.0,57.0,2,6000.0
Manikonda,2 BHK,1360.0,2.0,65.0,2,4779.411764705882
Manikonda,2 BHK,1073.5,2.0,54.005,2,5030.740568234746
Manikonda,3 BHK,1260.0,2.0,85.05,3,6750.0
Manikonda,5 BHK,3050.0,5.0,213.0,5,6983.606557377049
Manikonda,3 BHK,1563.05,3.0,105.0,3,6717.635392341896
Manikonda,2 BHK,1167.0,2.0,43.76,2,3749.7857754927163
Manikonda,2 BHK,890.0,2.0,35.0,2,3932.5842696629215
Manikonda,3 BHK,1612.0,3.0,46.74,3,2899.5037220843674
Kothaguda,3 BHK,1710.0,4.0,91.31,3,5339.766081871345
Kompally,2 BHK,957.0,2.0,58.0,2,6060.606060606061
Tellapur,2 BHK,1125.0,2.0,50.0,2,4444.444444444444
Tellapur,2 BHK,1020.0,2.0,30.6,2,3000.0
Sanath Nagar,3 BHK,1735.0,3.0,135.0,3,7780.979827089337
Manikonda,3 BHK,2050.0,3.0,145.0,3,7073.170731707317
Kukatpally,2 BHK,1063.0,2.0,32.0,2,3010.348071495767
Nizampet,3 BHK,1904.0,3.0,150.0,3,7878.151260504202
Gachibowli,3 BHK,2000.0,3.0,175.0,3,8750.0
Gachibowli,2 BHK,1242.5,2.0,43.49,2,3500.201207243461
Gachibowli,3 BHK,1425.0,2.0,75.0,3,5263.1578947368425
Gachibowli,3 BHK,1500.0,2.0,64.5,3,4300.0
Gachibowli,2 BHK,1060.0,2.0,60.0,2,5660.377358490566
Gachibowli,3 BHK,1470.0,2.0,70.0,3,4761.9047619047615
Gachibowli,1 BHK,450.0,1.0,11.0,1,2444.4444444444443
Moosapet,2 BHK,1152.0,2.0,64.5,2,5598.958333333333
Balanagar,3 BHK,1350.0,2.0,56.0,3,4148.148148148148
Kokapet,3 BHK,1550.0,3.0,65.0,3,4193.548387096775
Kokapet,1 BHK,705.0,1.0,67.0,1,9503.54609929078
Kokapet,2 BHK,770.0,1.0,36.0,2,4675.324675324675
